x,y,z
100.624,50.836,25.859
96.069,49.739,25.704
95.447,51.661,23.847
98.932,51.986,25.879
102.224,52.309,24.977
100.954,48.52,25.323
98.936,51.257,24.508
99.859,49.32,24.823
99.97,49.944,25.555
98.879,49.686,24.192
99.09,49.164,25.668
101.258,49.581,25.38
101.843,48.698,24.866
101.635,49.149,25.276
99.705,50.5,23.958
102.276,49.048,24.031
98.734,49.438,24.986
99.983,49.756,25.516
97.444,49.298,24.473
100.472,50.256,25.551
102.901,48.963,25.102
100.737,48.591,24.931
98.116,51.589,25.005
97.011,50.106,25.329
101.481,50.115,24.038
100.606,50.928,25.229
99.098,49.521,24.807
97.796,50.055,25.73
103.333,50.058,25.03
99.058,49.446,25.141
102.332,49.685,25.36
100.47,50.64,24.55
100.942,48.593,25.671
99.796,52.004,24.675
97.578,48.964,24.058
99.887,47.963,24.684
99.91,48.866,24.978
101.505,48.895,24.352
97.217,49.813,24.969
100.794,49.823,25.388
98.943,51.129,25.234
101.108,49.46,24.265
101.882,50.402,24.5
99.451,50.28,25.503
102.19,49.254,24.669
96.286,50.096,24.513
101.861,50.034,25.021
96.081,50.998,24.85
99.961,48.743,24.719
99.147,50.204,25.525
101.78,50.164,24.781
98.163,50.571,25.483
101.941,51.003,25.493
100.338,49.785,24.954
99.326,49.578,24.844
100.153,49.5,25.237
98.428,51.499,24.394
102.3,50.375,24.668
100.344,50.097,22.91
97.886,49.148,25.586
100.566,48.575,25.033
95.113,50.063,25.096
100.598,50.425,24.688
97.746,50.31,25.76
100.128,49.397,24.351
97.928,51.391,25.61
100.933,49.895,25.427
100.278,48.889,23.869
97.476,50.958,25.68
101.408,49.677,24.834
100.549,48.071,24.795
99.401,51.738,24.911
98.787,50.866,24.592
101.726,48.944,25.818
100.415,49.576,25.689
99.307,50.744,24.31
97.01,50.642,25.387
99.658,50.444,24.42
97.872,50.111,24.953
98.43,51.124,24.244
