id,value,category,score
1,NULL,,N/A
2,111.2,C,9
3,106.2,C,31
4,60.8,C,32
5,127.1,C,77
6,108.0,,85
7,102.0,C,73
8,NULL,C,41
9,112.4,C,41
10,94.6,A,N/A
11,99.0,,83
12,110.5,B,59
13,86.5,A,2
14,130.5,B,80
15,NULL,C,13
16,112.4,,34
17,106.2,A,45
18,130.1,B,37
19,72.0,A,N/A
20,76.8,B,79
21,109.5,,84
22,NULL,C,2
23,87.4,C,14
24,77.9,A,34
25,107.1,C,20
26,106.3,,35
27,97.3,B,27
28,113.5,C,N/A
29,NULL,C,34
30,84.8,A,12
31,99.5,,82
32,85.7,A,43
33,107.4,A,82
34,111.8,B,71
35,98.5,C,55
36,NULL,,72
37,107.9,C,N/A
38,100.5,A,70
39,118.7,C,19
40,104.3,B,17
41,118.4,,6
42,104.9,B,27
43,NULL,C,32
44,90.7,C,53
45,83.8,C,96
46,126.0,,N/A
47,138.1,A,23
48,103.3,C,43
49,97.0,B,86
50,NULL,C,32
