id,primary_value,secondary_value,label
1,NULL,NULL,
2,117.7,55.4,cat_1
3,NULL,50.2,cat_2
4,111.2,NULL,cat_0
5,NULL,46.2,
6,93.8,59.6,cat_2
7,NULL,NULL,cat_0
8,103.5,51.4,cat_1
9,NULL,53.1,
10,102.7,NULL,cat_0
11,NULL,45.6,cat_1
12,111.4,44.7,cat_2
13,NULL,NULL,
14,99.8,50.7,cat_1
15,NULL,52.0,cat_2
16,98.6,NULL,cat_0
17,NULL,48.9,
18,88.6,50.4,cat_2
19,NULL,NULL,cat_0
20,84.7,46.5,cat_1
21,NULL,45.4,
22,101.2,NULL,cat_0
23,NULL,47.9,cat_1
24,102.7,57.5,cat_2
25,NULL,NULL,
26,95.4,56.2,cat_1
27,NULL,43.9,cat_2
28,102.1,NULL,cat_0
29,NULL,42.6,
30,107.5,46.2,cat_2
31,NULL,NULL,cat_0
32,113.6,49.5,cat_1
33,NULL,53.8,
34,104.7,NULL,cat_0
35,NULL,52.2,cat_1
36,109.1,54.2,cat_2
37,NULL,NULL,
38,100.5,46.8,cat_1
39,NULL,51.2,cat_2
40,111.3,NULL,cat_0
