date,revenue,units,region
2024-01-01,1178.39,25,north
2024-02-02,1174.06,23,south
2024-03-03,1241.04,13,east
2024-04-04,1441.51,35,west
2024-05-05,1265.21,22,north
2024-06-06,1213.2,40,south
2024-07-07,1045.68,34,east
2024-08-08,1084.86,22,west
2024-09-09,1085.0,8,north
2024-10-10,1238.0,18,south
2024-11-11,1156.21,17,east
2024-12-12,1070.39,21,west
2024-01-13,1331.01,13,north
2024-02-14,1163.91,32,south
2024-03-15,1438.82,24,east
2024-04-16,1366.1,10,west
2024-05-17,1176.38,32,north
2024-06-18,1015.56,13,south
2024-07-19,932.85,31,east
2024-08-20,1109.39,20,west
2024-09-21,1187.06,22,north
2024-10-22,1155.92,26,south
2024-11-23,1493.68,14,east
2024-12-24,1172.65,32,west
2024-01-25,1162.73,31,north
2024-02-26,1409.88,18,south
2024-03-27,1129.5,25,east
2024-04-28,1274.9,12,west
2024-05-01,1128.87,23,north
2024-06-02,1141.8,18,south
2024-07-03,8674.72,22,east
2024-08-04,1227.95,28,west
2024-09-05,1342.93,22,north
2024-10-06,983.45,10,south
2024-11-07,1251.5,12,east
2024-12-08,1057.09,21,west
2024-01-09,1365.92,28,north
2024-02-10,1099.23,21,south
2024-03-11,1115.73,37,east
2024-04-12,1075.26,17,west
2024-05-13,1189.46,24,north
2024-06-14,1312.4,35,south
2024-07-15,1321.31,22,east
2024-08-16,1109.3,16,west
2024-09-17,1134.63,11,north
2024-10-18,1196.08,15,south
2024-11-19,1250.77,35,east
2024-12-20,1272.57,12,west
2024-01-21,1048.73,37,north
2024-02-22,1333.76,24,south
2024-03-23,1492.97,8,east
2024-04-24,1146.17,15,west
2024-05-25,1122.56,25,north
2024-06-26,1030.73,29,south
2024-07-27,1322.46,37,east
2024-08-28,1303.33,8,west
2024-09-01,1493.59,24,north
2024-10-02,1112.33,40,south
2024-11-03,1213.41,14,east
2024-12-04,1021.93,27,west
2024-01-05,1297.26,20,north
2024-02-06,1050.24,17,south
2024-03-07,1137.47,8,east
2024-04-08,1263.39,28,west
2024-05-09,1127.12,31,north
2024-06-10,1205.23,27,south
2024-07-11,1207.37,13,east
2024-08-12,1311.12,13,west
2024-09-13,1168.69,16,north
2024-10-14,925.77,16,south
2024-11-15,1004.8,18,east
2024-12-16,893.48,24,west
2024-01-17,998.2,21,north
2024-02-18,1164.55,20,south
2024-03-19,1165.08,31,east
2024-04-20,8421.76,36,west
2024-05-21,1332.76,23,north
2024-06-22,1103.05,22,south
2024-07-23,1228.46,22,east
2024-08-24,1212.11,22,west
2024-09-25,1435.07,11,north
2024-10-26,1210.63,22,south
2024-11-27,1234.55,29,east
2024-12-28,1215.57,12,west
2024-01-01,1079.29,39,north
2024-02-02,1189.23,21,south
2024-03-03,966.8,38,east
2024-04-04,1141.32,23,west
2024-05-05,1258.76,20,north
2024-06-06,934.12,14,south
2024-07-07,1330.66,35,east
2024-08-08,1291.14,34,west
2024-09-09,962.77,14,north
2024-10-10,1249.87,11,south
2024-11-11,1088.21,14,east
2024-12-12,1278.44,23,west
2024-01-13,1266.73,16,north
2024-02-14,1373.58,35,south
2024-03-15,1267.85,12,east
2024-04-16,1352.79,36,west
2024-05-17,1305.28,14,north
2024-06-18,924.12,11,south
2024-07-19,1092.08,8,east
2024-08-20,1047.18,13,west
2024-09-21,1460.87,18,north
2024-10-22,1069.89,34,south
2024-11-23,1096.4,33,east
2024-12-24,1209.37,11,west
2024-01-25,1205.04,32,north
2024-02-26,1208.47,24,south
2024-03-27,11484.08,26,east
2024-04-28,1082.82,35,west
2024-05-01,1120.01,39,north
2024-06-02,970.64,17,south
2024-07-03,1238.76,11,east
2024-08-04,1297.7,11,west
2024-09-05,1199.35,38,north
2024-10-06,1148.54,40,south
2024-11-07,1361.44,11,east
2024-12-08,1110.44,40,west
